Sim	T_Pmume_brPLUSDIV	T_w4_Pmume	mPmumew4	mw4Pmume	Pmume	T_Pmume_br	w4	S_1	S_2	Pi_1	Pi_2	FST_2_1	PI_2_1	Sx1_1_0	Sx0_1_0	Ss_1_0	Sf_1_0
72	1808512	275311	0.0362024	0.00646681	119	2083823	100	1	2	0.0850242	0.276467	0.0277306	0.186657	1	0	1	0
73	6009	37211	0.0458972	0.0498669	85	43220	632	328	247	63.0937	59.458	0.0375502	63.6499	43	124	204	0
74	367046	85111	0.036113	0.0334507	205	452157	28	16	23	3.53913	4.16092	0.112191	4.34258	8	1	15	0
75	4556	1715	0.0282404	0.0232111	12	6271	71	491	228	106.679	53.1331	0.262125	107.052	51	314	177	0
76	157611	18520	0.0454322	0.0113466	394	176131	1913	478	475	108.133	108.442	0.0109202	109.484	85	88	390	0
77	10710	255127	0.00752376	0.0254822	662	265837	27	36	96	8.02319	16.2946	0.132564	14.1102	64	4	32	0
78	2715907	9485	0.0451605	0.0312701	141	2725392	83	4	5	1.47633	1.17241	0.0528292	1.39655	1	0	4	0
79	245394	7651	0.00220885	0.00207105	185	253045	685	156	87	37.5604	19.7931	0.206559	35.8298	22	91	65	0
80	461625	382661	0.00456453	0.0246283	1366	844286	1810	87	82	19.4309	19.1397	0.00661832	19.413	13	18	69	0
81	2915	466580	0.0376758	0.0107202	36	469495	43	4	6	1.18647	1.80278	0.235847	1.96852	4	2	2	0
82	901136	195040	0.0339387	0.0146271	442	1096176	10	0	5	0	0.272232	0.00780467	0.137931	5	0	0	0
83	98616	9714	0.0335464	0.034042	159	108330	898	209	172	46.5729	41.6921	0.0205801	45.0427	25	62	147	0
84	205460	3951	0.0497805	0.00361218	996	209411	20	5	33	0.601932	1.93406	0.0438957	1.33283	32	4	1	0
85	876396	43003	0.0358099	0.034712	39	919399	90	6	5	1.47923	1.59589	0.0935172	1.69715	1	2	4	0
86	25107	14461	0.0106484	0.0428967	247	39568	654	421	375	88.4048	82.5082	0.0263187	87.7436	94	140	281	0
87	1216551	32957	0.0345564	0.0111186	11	1249508	473	16	8	3.59517	2.54083	0.181045	3.73013	1	9	7	0
88	2684	14024	0.0165936	0.0485967	1065	16708	91	1076	1496	272.397	300.422	0.0392074	298.228	544	124	952	0
89	2684	2043	0.0120384	0.0198525	969	4727	151	1941	2810	473.674	555.861	0.0530681	544.074	1143	274	1667	0
90	1797606	75463	0.0387951	0.0447791	2011	1873069	165	19	19	4.35942	3.45493	0.00224504	3.91379	4	4	15	0
91	4181	4343	0.00787007	0.0228201	29	8524	2801	517	104	48.0831	22.6824	0.129736	40.3771	43	456	61	0
92	307780	2031	0.00170112	0.0349497	149	309811	17	13	20	3.01932	5.45372	0.263295	5.80735	10	3	10	0
93	1062	23822	0.0490182	0.029928	1502	24884	65	200	405	51.7575	62.9516	0.0477556	60.2894	235	30	170	0
94	74504	1859	0.041468	0.0410308	22	76363	711	112	46	12.4087	9.22444	0.120261	12.2624	11	77	35	0
95	123106	2417	0.0136255	0.0378283	177	125523	264	101	91	23.8464	22.2063	0.041994	24.0277	15	25	76	0
96	1031	87717	0.0264215	0.0496067	89	88748	1980	157	94	26.9604	23.4307	0.0333438	26.0495	16	79	78	0
97	25791	43129	0.0222308	0.0366656	70	68920	161	126	95	28.7903	24.4108	0.0424041	27.7571	21	52	74	0
98	3870430	1105	0.0142836	0.0210075	1135	3871535	13	1	6	0.476329	0.804598	0.0336286	0.664168	5	0	1	0
99	2675635	98009	0.0211618	0.000966829	1630	2773644	75	1	6	0.0434783	0.240169	0.00103086	0.142429	6	1	0	0
100	4380332	16188	0.0353972	0.00826339	185	4396520	44	2	1	0.378744	0.130672	0.0331177	0.262369	0	1	1	0
1	64240	71539	0.0017811	0.00475953	68	135779	415	113	41	20.5971	9.84936	0.328979	22.3523	15	87	26	0
2	2353907	7433	0.0353961	0.0209096	13	2361340	448	5	0	0.884058	0	0.133285	0.5	0	5	0	0
3	71916	1632	0.0363717	0.00819887	201	73548	64	57	120	13.3237	19.1379	0.0931347	17.946	77	14	43	0
4	1499299	15654	0.0382297	0.0459261	2682	1514953	570	71	74	16.1082	15.3993	0.00934203	15.9003	15	12	59	0
5	21583	10331	0.00262818	0.0110044	2138	31914	35	377	1343	99.3295	246.377	0.21466	222.798	1003	37	340	0
6	31496	17954	0.00865947	0.0311833	147	49450	27	109	157	29.2715	40.0962	0.197364	43.3936	67	19	90	0
