Sim	T_Pmume_brPLUSDIV	T_w4_Pmume	Pmume	T_Pmume_br	w4	S_1	S_2	Pi_1	Pi_2	FST_2_1	PI_2_1	Sx1_1_0	Sx0_1_0	Ss_1_0	Sf_1_0
40	2165	2202	54	4367	36	252	405	53.1807	93.268	0.978	3433.3	405	252	0	3296
41	790981	393650	70	1184631	56	1	3	0.0434783	0.335753	0.999925	2775.9	3	1	0	2775
42	1444	410300	23	411744	1161	84	1	18.1874	0.130672	0.998721	6331.68	1	84	0	6314
43	10536	31827	132	42363	2215	1221	61	279.489	13.9964	0.966053	3877.64	61	1221	0	3589
44	307180	17073	59	324253	146	8	12	1.95845	4.17967	0.993757	512.421	12	8	0	506
45	278331	33868	10	312199	599	80	3	16.9961	0.46824	0.99245	1028.78	3	80	0	1014
46	2061026	4201	38	2065227	46	1	1	0.231884	0.0344828	0.989084	11.1477	1	1	0	11
47	55926	3783	16	59709	336	198	13	47.0184	3.71083	0.959811	570.195	13	198	0	522
48	440501	31836	597	472337	530	47	50	12.3159	13.9952	0.978049	603.713	50	47	0	579
49	2513616	18043	19	2531659	2355	44	0	9.35169	0	0.947842	79.6304	0	44	0	72
50	20107	21382	26	41489	617	466	22	102.206	6.41319	0.986442	3595.64	22	466	0	3493
51	9062	37147	1661	46209	1419	654	805	145.804	176.751	0.959523	4027.63	805	654	0	3724
52	530793	143919	27	674712	101	8	3	1.43768	1.24743	0.999251	1776.4	3	8	0	1774
53	4322579	1672	1242	4324251	376	2	15	0.641546	2.97459	0.654041	5.491	15	2	0	2
54	33499	132777	180	166276	94	19	41	4.90435	8.11313	0.998754	5373.55	41	19	0	5362
55	1433	70371	29	71804	1110	370	12	82.543	2.48578	0.993535	5851.88	12	370	0	5770
56	189553	390551	435	580104	62	4	24	0.997101	7.25953	0.999072	4847.57	24	4	0	4841
57	12654	93645	13	106299	102	33	3	4.79227	1.06292	0.999531	5772	3	33	0	5767
58	460249	3528	54	463777	45	11	1	2.51401	0.188748	0.984754	79.7991	1	11	0	78
59	144493	2617	1448	147110	11	2	413	0.437681	92.5185	0.805731	261.921	413	2	0	168
60	1067449	6590	774	1074039	174	5	32	1.12174	7.29643	0.928442	63.5472	32	5	0	55
61	4321	1225	115	5546	399	1580	492	343.219	106.864	0.822573	1203.37	492	1580	0	757
